"Section","Island","Start km","End km","Length km","Official start km","Official end km"
"Arthur's Pass to Rākaia River","South","2224.8","2298.3","73.5","2224.8","2298.3"
"Rakaia River to Rangitata River","South","2298.3","2367.8","69.5","2298.3","2367.8"
"Two Thumb Track","South","2367.8","2442.2","74.4","2367.8","2442.2"
"Tekapo to Lake Ōhau","South","2442.2","2529.1","86.9","2442.2","2529.1"
"East Ahuriri Track","South","2529.1","2554.1","25","2529.1","2554.1"
"Breast Hill Track","South","2554.1","2607.9","53.8","2554.1","2607.9"
"Gladstone to Wānaka","South","2607.9","2638.6","30.7","2607.9","2638.6"
"Glendhu Bay Track","South","2638.6","2655.3","16.8","2638.6","2655.3"
"Motatapu Alpine Track","South","2655.3","2704.1","48.8","2655.3","2704.1"
"Wakatipu Track","South","2704.1","2733.8","29.6","2704.1","2733.8"
"Mavora Walkway","South","2733.8","2784.8","51.1","2733.8","2784.8"
"Mararoa River Track","South","2784.8","2829.8","45","2784.8","2829.8"
"Tākitimu Track","South","2829.8","2905.8","75.9","2829.8","2905.8"
"Birchwood to Merrivale","South","2905.8","2932.9","27.1","2905.8","2932.9"
"Longwood Forest Track","South","2932.9","2987.2","54.3","2932.9","2987.2"
"Long Hilly Track","South","2987.2","2993.9","6.7","2987.2","2993.9"
"Tīhaka Beach Track","South","2993.9","3006.8","12.9","2993.9","3006.8"
"Oreti Beach Track","South","3006.8","3037.2","30.4","3006.8","3037.2"
"Invercargill to Bluff","South","3037.2","3073.2","36","3037.2","3073.2"
